city,target,week,value,source,metric
Los Angeles,covN2,2026-06-21,3.162682434424304,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,covN2,2026-06-28,2.4006645026507107,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,covN2,2026-07-05,0.6985459647201793,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,fluA,2025-08-03,0.0,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,fluA,2025-08-10,0.0,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,fluA,2025-08-17,0.0,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,fluA,2025-08-24,0.0,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,fluA,2025-08-31,0.0,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,fluA,2025-09-07,0.0,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,fluA,2025-09-14,0.0,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,fluA,2025-09-21,0.0,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,fluA,2025-09-28,0.44061368312808313,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,fluA,2025-10-05,0.0,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,fluA,2025-10-12,0.0,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,fluA,2025-10-19,0.0,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,fluA,2025-10-26,0.0,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,fluA,2025-11-02,0.0,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,fluA,2025-11-09,0.0,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,fluA,2025-11-16,0.0,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,fluA,2025-11-23,0.8964479351945426,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,fluA,2025-11-30,0.41530486335309186,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,fluA,2025-12-07,1.5644290638108462,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,fluA,2025-12-14,0.0,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,fluA,2025-12-21,0.0,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,fluA,2025-12-28,2.954752548608402,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,fluA,2026-01-04,6.446388952257408,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,fluA,2026-01-11,5.1408551320635,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,fluA,2026-01-18,11.942248487841267,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,fluA,2026-01-25,0.0,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,fluA,2026-02-01,1.6895826256378406,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,fluA,2026-02-08,0.7016151978591626,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,fluA,2026-02-15,1.1039012637600123,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,fluA,2026-02-22,16.655998282779482,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,fluA,2026-03-01,2.8545005693625236,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,fluA,2026-03-08,0.0,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,fluA,2026-03-15,0.0,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,fluA,2026-03-22,0.307300524592574,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
Los Angeles,fluA,2026-03-29,0.0,California (CDPH/NWSS; copies/L ÷ fecal marker),fecal_normalized
