city,target,week,value,source,metric
Vancouver,fluA,2025-08-31,0.764646011221489,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluA,2025-09-07,0.169204011055474,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluA,2025-09-14,0.598064048148754,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluA,2025-09-21,1.34659290559315,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluA,2025-09-28,1.00836591667545,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluA,2025-10-05,1.2044626788216,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluA,2025-10-12,1.86406143276204,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluA,2025-10-19,3.25408518798591,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluA,2025-10-26,2.79907828325252,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluA,2025-11-02,1.63773525021744,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluA,2025-11-09,1.42473600886615,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluA,2025-11-16,4.76781381781588,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluA,2025-11-23,5.30072393986031,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluA,2025-11-30,11.7922386462399,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluA,2025-12-07,11.6078491865811,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluA,2025-12-14,21.5000993377324,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluA,2025-12-21,26.7477967398989,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluA,2026-01-04,15.9784263149608,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluA,2026-01-11,9.27817887437645,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluA,2026-01-18,9.23329722445867,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluA,2026-01-25,6.0079060805808,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluA,2026-02-01,4.18557509804611,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluA,2026-02-08,5.00757096868573,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluA,2026-02-15,2.80908060385179,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluA,2026-02-22,3.98269387463145,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluA,2026-03-01,5.60360519119674,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluA,2026-03-08,1.99078879796132,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluA,2026-03-15,0.839565472240258,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluA,2026-03-22,1.08109440113819,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluA,2026-03-29,2.26000834473662,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluA,2026-04-05,1.10531482913744,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluA,2026-04-12,0.783662774082959,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluA,2026-04-19,0.159070144845936,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluA,2026-04-26,0.472277795731871,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluA,2026-05-03,0.673941828008492,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluA,2026-05-10,0.0122287520131786,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluA,2026-05-17,0.0720912082790563,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluA,2026-05-24,0.53856415457691,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluA,2026-05-31,0.158701793373452,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluA,2026-06-07,1.74195193297093,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluA,2026-06-14,0.0122287520131786,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluA,2026-06-21,0.747098870538146,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluA,2026-06-28,0.0122287520131786,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluA,2026-07-05,1.52286169636394,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluB,2025-08-03,0.0087553658126273,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluB,2025-08-10,0.0087553658126273,Canada (health-infobase; PMMoV-normalized index),pmmov_index
Vancouver,fluB,2025-08-17,0.0087553658126273,Canada (health-infobase; PMMoV-normalized index),pmmov_index
